,route_id,opt_dist,actu_dist,opt_time,actu_time,dwell_time,todest_time,inride_time,num_stops,stops_bool,dist_ratio,time_ratio,dwell_ratio,todest_ratio,inride_mph
37,16125.0,1747,1684.2512324521217,1304,240.0,30.0,210.0,210.0,0,0,1.0372561802769302,5.433333333333334,0.125,1.0,17.940804532959284
38,16126.0,1157,1094.7501920923576,885,180.0,0.0,165.0,180.0,0,0,1.0568621118838688,4.916666666666667,0.0,0.9166666666666666,13.60494719277266
39,16194.0,340,337.7761282732084,249,105.0,45.0,45.0,60.0,1,1,1.0065838629217538,2.3714285714285714,0.42857142857142855,0.75,12.593082206324516
40,16196.0,2106,2176.6751701649255,1579,360.0,60.0,285.0,300.0,1,1,0.9675306765411531,4.386111111111111,0.16666666666666666,0.95,16.230305850495764
41,16215.0,944,956.4633042822672,717,180.0,15.0,150.0,165.0,0,0,0.986969385833762,3.9833333333333334,0.08333333333333333,0.9090909090909091,12.966975902310152
42,16218.0,1257,1301.6520275913995,942,150.0,15.0,120.0,135.0,0,0,0.9656958798166477,6.28,0.1,0.8888888888888888,21.56827767852078
43,16224.0,501,535.8015788245441,373,90.0,0.0,75.0,90.0,0,0,0.9350476366626378,4.144444444444445,0.0,0.8333333333333334,13.317288708175287
44,16248.0,1860,1927.191417305994,1376,225.0,15.0,210.0,210.0,0,0,0.9651350578346181,6.115555555555556,0.06666666666666667,1.0,20.528626519183195
45,16254.0,1758,1582.0128849412763,1324,210.0,15.0,195.0,195.0,0,0,1.1112425295229225,6.304761904761905,0.07142857142857142,1.0,18.14804052738738
46,16307.0,1016,1003.7190638099117,770,195.0,30.0,150.0,165.0,0,0,1.0122354318383397,3.948717948717949,0.15384615384615385,0.9090909090909091,13.60763225817542
47,16347.0,784,767.8053605716759,597,135.0,15.0,120.0,120.0,0,0,1.0210921156063122,4.4222222222222225,0.1111111111111111,1.0,14.312787693976707
48,16348.0,105,16381.2334328462,80,1800.0,45.0,855.0,1755.0,0,0,0.006409773746918427,0.044444444444444446,0.025,0.48717948717948717,20.87967881212022
49,16357.0,25,13983.027761585723,19,4770.0,2340.0,1275.0,2430.0,6,1,0.0017878817396529945,0.003983228511530398,0.49056603773584906,0.5246913580246914,12.872096346091181
50,16361.0,1878,2201.5145859183026,1394,315.0,30.0,285.0,285.0,0,0,0.8530490835774512,4.425396825396826,0.09523809523809523,1.0,17.279494869558203
51,16364.0,801,798.3241893937359,616,120.0,30.0,75.0,90.0,0,0,1.00335178445275,5.133333333333334,0.25,0.8333333333333334,19.842259024693593
52,16367.0,828,757.9199539299599,619,195.0,45.0,150.0,150.0,0,0,1.0924636509524015,3.174358974358974,0.23076923076923078,1.0,11.302809744960564
53,16373.0,1775,1846.0735726067414,1340,285.0,45.0,240.0,240.0,0,0,0.9615001408062073,4.701754385964913,0.15789473684210525,1.0,17.206482572945518
54,16378.0,2065,1962.025050591587,1511,240.0,0.0,225.0,240.0,0,0,1.0524840135845177,6.295833333333333,0.0,0.9375,18.287217986126436
